,"Gross domestic product 2021, PPP",,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,international dollars),
,,,,,
,,,,,
FSM,188,,"Micronesia, Fed. Sts.", 412 ,a
PLW,189,,Palau, 295 ,a
KIR,190,,Kiribati, 259 ,a
MHL,191,,Marshall Islands, 249 ,a
NRU,192,,Nauru, 164 ,a
TUV,193,,Tuvalu, 61 ,a
ASM,,,American Samoa, -   ,
AND,,,Andorra, -   ,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
CUB,,,Cuba, -   ,
ERI,,,Eritrea, -   ,
FRO,,,Faroe Islands, -   ,
PYF,,,French Polynesia, -   ,
GIB,,,Gibraltar, -   ,
GRL,,,Greenland, -   ,
GUM,,,Guam, -   ,
IMN,,,Isle of Man, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
LIE,,,Liechtenstein, -   ,
MCO,,,Monaco, -   ,
NCL,,,New Caledonia, -   ,
MNP,,,Northern Mariana Islands, -   ,
SXM,,,Sint Maarten (Dutch part), -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
SYR,,,Syrian Arab Republic, -   ,
VEN,,,"Venezuela, RB", -   ,
VIR,,,Virgin Islands (U.S.), -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
WLD,,,World," 146,735,570 ",
,,,,,
EAS,,,East Asia & Pacific," 48,073,805 ",
ECS,,,Europe & Central Asia," 35,970,757 ",
LCN,,,Latin America & Caribbean," 11,360,063 ",
MEA,,,Middle East & North Africa," 8,360,897 ",
NAC,,,North America," 24,993,591 ",
SAS,,,South Asia," 13,192,304 ",
SSF,,,Sub-Saharan Africa," 4,824,454 ",
LIC,,,Low income," 1,542,503 ",
LMC,,,Lower middle income," 27,036,029 ",
UMC,,,Upper middle income," 49,970,880 ",
HIC,,,High income," 67,782,637 ",
,,,,,
